"","Date","Open","High","Low","Close","Adj.Close","Volume","shifted_close","returns"
"2","2004-02-01",15.48,15.73,15.11,15.62,1.393817,0,1.37954,0.0103491018745379
"3","2004-03-01",15.84,15.98,15.15,15.83,1.412556,0,1.393817,0.0134443761268515
"4","2004-04-01",15.93,16.15,15.36,15.36,1.370616,0,1.412556,-0.0296908582739374
"5","2004-05-01",15.48,15.55,14.56,15.05,1.342954,0,1.370616,-0.0201821662668465
"6","2004-06-01",15.05,15.65,14.95,15.65,1.396494,0,1.342954,0.0398673372282297
"7","2004-07-01",15.58,15.64,14.85,15.12,1.3492,0,1.396494,-0.033866239310731
"8","2004-08-01",15.16,15.16,14.46,15.14,1.350985,0,1.3492,0.00132300622591175
"9","2004-09-01",15.27,15.72,15.27,15.72,1.40274,0,1.350985,0.0383090855931043
"10","2004-10-01",15.95,16.1,15.4,15.72,1.40274,0,1.40274,0
"11","2004-11-01",15.77,16.99,15.77,16.969999,1.514281,0,1.40274,0.079516517672555
"12","2004-12-01",17.129999,17.129999,16.299999,16.860001,1.504465,0,1.514281,-0.00648228433163989
"13","2005-01-01",16.6,16.6,15.99,16.370001,1.51341,0,1.504465,0.00594563515934232
"14","2005-02-01",16.49,16.93,16.469999,16.93,1.565181,0,1.51341,0.0342081788808055
"15","2005-03-01",17.02,17.290001,16.35,16.549999,1.53005,0,1.565181,-0.0224453274094178
"16","2005-04-01",16.51,16.66,15.57,15.67,1.448694,0,1.53005,-0.053172118558217
"17","2005-05-01",15.85,16.33,15.64,16.33,1.509711,0,1.448694,0.0421186254654193
"18","2005-06-01",16.57,17.370001,16.559999,17.34,1.603086,0,1.509711,0.0618495857816497
"19","2005-07-01",17.48,18.25,17.48,18.17,1.679819,0,1.603086,0.0478658038308613
"20","2005-08-01",18.280001,18.42,17.620001,17.98,1.662254,0,1.679819,-0.0104564837044944
"21","2005-09-01",18.01,18.200001,17.48,17.98,1.662254,0,1.662254,0
"22","2005-10-01",18.059999,18.059999,16.75,17.27,1.596615,0,1.662254,-0.0394879482918976
"23","2005-11-01",17.219999,18.030001,17.219999,17.969999,1.66133,0,1.596615,0.0405326268386557
"24","2005-12-01",18.280001,18.360001,15.58,15.58,1.440373,0,1.66133,-0.133000066212011
"25","2006-01-01",15.73,16.629999,15.73,16.629999,1.824715,0,1.440373,0.266835048976897
"26","2006-02-01",16.700001,16.709999,16.18,16.549999,1.815937,0,1.824715,-0.00481061426030926
"27","2006-03-01",16.790001,17.33,16.370001,17.33,1.901522,0,1.815937,0.0471299389791606
"28","2006-04-01",17.27,17.610001,16.969999,17.57,1.927856,0,1.901522,0.0138489062971663
"29","2006-05-01",17.57,18.030001,16.969999,17.219999,1.889452,0,1.927856,-0.019920574980704
"30","2006-06-01",17.469999,17.469999,16.120001,16.84,1.847757,0,1.889452,-0.0220672448942867
"31","2006-07-01",16.91,16.940001,16.299999,16.879999,1.852146,0,1.847757,0.00237531233814825
"32","2006-08-01",16.74,17.43,16.48,17.389999,1.908105,0,1.852146,0.0302130609573974
"33","2006-09-01",17.530001,17.620001,17.209999,17.360001,1.904814,0,1.908105,-0.00172474785192633
"34","2006-10-01",17.200001,18.42,17.17,18.25,2.002468,0,1.904814,0.0512669478489762
"35","2006-11-01",18.049999,19.049999,18.049999,19.049999,2.090248,0,2.002468,0.0438359064913896
"36","2006-12-01",18.950001,19.33,15.56,15.81,1.734741,0,2.090248,-0.170078861455674
"37","2007-01-01",15.77,15.98,15.54,15.96,2.144348,0,1.734741,0.236119974105645
