Month,MktRF,SMB,HML,RMW,CMA,RF
200401,    2.15,    2.45,    2.49,   -3.66,    3.38,    0.07
200402,    1.40,   -0.93,    0.90,    2.17,   -1.21,    0.06
200403,   -1.32,    2.10,    0.27,    1.56,   -0.98,    0.09
200404,   -1.83,   -2.01,   -3.10,    3.45,   -2.84,    0.08
200405,    1.17,   -0.38,   -0.25,   -1.18,    0.03,    0.06
200406,    1.86,    2.56,    1.18,    1.20,   -0.39,    0.08
200407,   -4.06,   -2.95,    3.24,    5.32,   -1.66,    0.10
200408,    0.08,   -1.13,    0.97,    1.23,   -1.47,    0.11
200409,    1.60,    3.27,    0.00,   -1.49,   -1.88,    0.11
200410,    1.43,    0.19,   -0.22,   -0.52,    0.49,    0.11
200411,    4.54,    4.11,    1.41,   -0.58,   -0.22,    0.15
200412,    3.43,   -0.05,   -0.22,   -1.16,    0.46,    0.16
200501,   -2.76,   -1.17,    2.06,    2.74,   -1.46,    0.16
200502,    1.89,   -0.31,    1.54,    1.43,   -0.05,    0.16
200503,   -1.97,   -1.42,    2.04,    0.47,    1.29,    0.21
200504,   -2.61,   -3.98,    0.07,    0.97,   -0.94,    0.21
200505,    3.65,    2.79,   -0.64,   -1.00,    0.30,    0.24
200506,    0.57,    3.28,    2.83,    0.96,   -0.51,    0.23
200507,    3.92,    2.81,   -0.79,   -1.19,   -0.82,    0.24
200508,   -1.22,   -0.89,    1.32,   -2.05,    0.37,    0.30
200509,    0.49,   -0.34,    0.71,    0.27,   -0.60,    0.29
200510,   -2.02,   -1.45,    0.42,   -0.93,   -1.30,    0.27
200511,    3.61,    0.84,   -1.16,   -0.76,   -1.14,    0.31
200512,   -0.25,   -0.20,    0.20,    0.21,    0.23,    0.32
200601,    3.04,    5.75,    1.08,   -0.64,   -0.46,    0.35
200602,   -0.30,   -0.42,   -0.34,   -0.51,    1.91,    0.34
200603,    1.46,    3.38,    0.60,    0.06,   -0.41,    0.37
200604,    0.73,   -0.84,    2.34,    1.80,    0.01,    0.36
200605,   -3.57,   -2.85,    2.41,    1.15,    1.46,    0.43
200606,   -0.35,   -0.24,    0.85,    1.32,   -0.07,    0.40
200607,   -0.78,   -3.63,    2.60,    1.63,    0.90,    0.40
200608,    2.03,    0.44,   -2.06,   -1.86,    2.09,    0.42
200609,    1.84,   -1.46,    0.08,    0.82,    0.60,    0.41
200610,    3.23,    1.98,   -0.31,   -0.12,    0.28,    0.41
200611,    1.71,    0.71,    0.14,    0.15,   -0.80,    0.42
200612,    0.87,   -0.81,    2.73,   -0.72,    2.06,    0.40
200701,    1.40,    0.07,   -0.68,    0.25,    0.38,    0.44
200702,   -1.96,    1.29,   -0.14,   -0.51,   -0.71,    0.38
200703,    0.68,    0.20,   -0.97,    0.64,   -0.65,    0.43
200704,    3.49,   -2.04,   -1.45,    1.15,    1.03,    0.44
200705,    3.24,    0.40,   -0.65,    1.58,   -1.36,    0.41
200706,   -1.96,    0.74,   -1.05,    0.53,    0.08,    0.40
200707,   -3.73,   -2.99,   -3.71,    0.20,   -1.13,    0.40
200708,    0.92,   -0.37,   -1.86,   -1.21,   -0.53,    0.42
200709,    3.22,   -2.44,   -2.21,   -0.52,   -3.02,    0.32
200710,    1.80,   -0.08,   -2.98,   -0.30,   -0.09,    0.32
200711,   -4.83,   -3.02,   -0.94,    1.89,   -0.29,    0.34
200712,   -0.87,    0.15,   -0.55,    0.87,   -1.05,    0.27
200801,   -6.36,   -0.65,    3.97,    2.14,    2.14,    0.21
200802,   -3.09,   -0.66,   -0.84,    0.88,   -0.93,    0.13
200803,   -0.93,    0.56,    0.30,    0.79,    0.50,    0.17
200804,    4.60,   -1.20,   -0.94,    1.64,   -2.47,    0.18
200805,    1.86,    3.02,   -1.43,    0.93,   -0.06,    0.18
200806,   -8.44,    1.18,   -2.71,    4.96,   -0.55,    0.17
200807,   -0.77,    3.72,    5.42,   -1.37,    1.08,    0.15
200808,    1.53,    3.46,    1.59,    1.86,    0.84,    0.13
200809,   -9.24,    0.25,    5.91,    2.41,    1.78,    0.15
200810,  -17.23,   -3.34,   -2.30,    3.04,    2.05,    0.08
200811,   -7.86,   -3.89,   -6.31,    4.53,    2.75,    0.03
200812,    1.74,    3.29,    0.14,    0.06,   -1.49,    0.00
200901,   -8.12,   -2.14,  -11.29,    0.18,   -1.17,    0.00
200902,  -10.10,   -1.32,   -6.95,    1.19,   -1.02,    0.01
200903,    8.95,    0.67,    3.47,   -2.52,   -2.25,    0.02
200904,   10.18,    7.13,    5.36,    1.31,    0.13,    0.01
200905,    5.21,   -2.32,    0.28,   -0.78,   -2.17,    0.00
200906,    0.43,    2.29,   -2.73,   -1.41,   -0.33,    0.01
200907,    7.72,    2.39,    4.83,   -0.46,    3.14,    0.01
200908,    3.33,   -0.09,    7.63,   -3.02,    3.34,    0.01
200909,    4.08,    2.73,    1.05,    1.31,    0.36,    0.01
200910,   -2.59,   -4.93,   -4.21,    4.17,   -1.51,    0.00
200911,    5.56,   -2.68,   -0.34,    1.00,    0.12,    0.00
