"","Date","Open","High","Low","Close","Adj.Close","Volume","shifted_close","returns"
"2","2004-02-01",86.449997,88.779999,86.239998,88.660004,46.371403,12248800,45.52409,0.0186124093858877
"3","2004-03-01",88.459999,91.480003,87.110001,89.550003,47.030331,25301200,46.371403,0.0142097921859297
"4","2004-04-01",88.980003,89.059998,83.010002,83.639999,44.103603,26199600,47.030331,-0.0622306485574171
"5","2004-05-01",83.099998,83.900002,80.510002,83.099998,43.989803,29857600,44.103603,-0.00258028805492372
"6","2004-06-01",82.370003,83.75,80.760002,83.650002,44.453667,15253000,43.989803,0.0105448073954775
"7","2004-07-01",83.349998,85.57,82.93,84.589996,45.128052,17658300,44.453667,0.0151705145044614
"8","2004-08-01",84.5,88,84.32,87.769997,47.013397,14912400,45.128052,0.0417776730092405
"9","2004-09-01",87.699997,89.949997,86,88.25,47.455696,23791200,47.013397,0.00940793535936169
"10","2004-10-01",87.5,90.089996,86.739998,89.440002,48.288097,20229400,47.455696,0.0175405919660307
"11","2004-11-01",88.75,89.199997,86.629997,86.940002,47.131157,20623600,48.288097,-0.023959113567884
"12","2004-12-01",86.699997,90.25,86.010002,88.550003,48.201218,29844400,47.131157,0.0227038983999479
"13","2005-01-01",88.18,91.75,87.809998,91.709999,50.316864,20556700,48.201218,0.0438919614023032
"14","2005-02-01",91.440002,94.239998,89.889999,90.019997,49.389603,25188900,50.316864,-0.0184284338547013
"15","2005-03-01",89.540001,90.989998,87.529999,89.330002,49.196133,29225700,49.389603,-0.00391722120139326
"16","2005-04-01",89.529999,92.940002,88.339996,92.440002,51.068878,28357000,49.196133,0.0380669147308792
"17","2005-05-01",92.150002,95.050003,90.809998,95,52.677734,24961400,51.068878,0.0315036488563545
"18","2005-06-01",95.199997,97,93.330002,96.699997,53.812511,34411000,52.677734,0.0215418719415683
"19","2005-07-01",96.040001,96.260002,92.68,93.110001,52.005722,24913800,53.812511,-0.0335756307673508
"20","2005-08-01",92.5,96,91.279999,95.989998,53.799046,23225100,52.005722,0.0344832055211155
"21","2005-09-01",95.309998,95.739998,91.879997,92.199997,51.867069,20877500,53.799046,-0.0359109899458068
"22","2005-10-01",91.790001,92.199997,89.120003,89.779999,50.682091,21279000,51.867069,-0.0228464423158363
"23","2005-11-01",89.43,91.139999,87.860001,90,51.006504,21592300,50.682091,0.00640093953503218
"24","2005-12-01",90,92.589996,88.849998,91.900002,52.314632,16166800,51.006504,0.0256462979701571
"25","2006-01-01",91.589996,92.769997,90.050003,90.669998,52.054527,13527200,52.314632,-0.00497193595856704
"26","2006-02-01",90.150002,91.449997,89.720001,91.349998,52.444897,12050900,52.054527,0.00749925169812804
"27","2006-03-01",90.769997,90.870003,86.589996,86.870003,50.050087,22213500,52.444897,-0.0456633559600661
"28","2006-04-01",86.18,86.900002,83.650002,84.160004,48.659199,30736400,50.050087,-0.0277899217238123
"29","2006-05-01",83.669998,85.150002,82.559998,83.669998,48.559204,29055100,48.659199,-0.0020550071118105
"30","2006-06-01",83.400002,85.940002,83.120003,84.32,49.129128,26614100,48.559204,0.0117366833278403
"31","2006-07-01",83.900002,85.889999,82.949997,85.809998,50.196419,15925200,49.129128,0.0217241999491624
"32","2006-08-01",85.32,88.199997,85.040001,88.080002,51.724934,19087800,50.196419,0.0304506781649105
"33","2006-09-01",87.620003,90.309998,86.720001,89.410004,52.716019,26393300,51.724934,0.0191606817710006
"34","2006-10-01",89.099998,89.870003,86.879997,89.809998,53.163147,22926000,52.716019,0.00848182409221754
"35","2006-11-01",89.610001,91.629997,88.300003,91.529999,54.396698,21135600,53.163147,0.0232031222681381
"36","2006-12-01",91.279999,91.800003,88.059998,88.43,52.756985,18919500,54.396698,-0.030143612761201
