"","Date","Open","High","Low","Close","Adj.Close","Volume","shifted_close","returns"
"2","2004-02-01",21.780001,23.110001,21.77,23.02,13.85805,7934300,13.111572,0.0569327613805575
"3","2004-03-01",23.120001,23.309999,22.16,22.879999,13.77376,8023500,13.85805,-0.00608238532838323
"4","2004-04-01",22.83,23.389999,22.6,23.18,14.004962,7969900,13.77376,0.0167856852449877
"5","2004-05-01",23.299999,23.379999,22.389999,23.049999,13.926414,12626400,14.004962,-0.00560858358630334
"6","2004-06-01",23.049999,23.67,22.870001,23.09,13.950584,8283400,13.926414,0.00173555087476207
"7","2004-07-01",23.139999,23.15,21.83,21.950001,13.311475,10170500,13.950584,-0.0458123473540606
"8","2004-08-01",21.860001,22.49,21.6,22.34,13.547988,6005700,13.311475,0.017767602763781
"9","2004-09-01",22.32,22.790001,21.360001,21.66,13.135601,10821800,13.547988,-0.0304389847407601
"10","2004-10-01",21.66,22,21.18,21.799999,13.276428,12738800,13.135601,0.0107210168761978
"11","2004-11-01",21.809999,23.059999,21.700001,22.34,13.605293,10762700,13.276428,0.0247705934156386
"12","2004-12-01",22.35,23.290001,22.35,23.08,14.055956,17349800,13.605293,0.0331240936891253
"13","2005-01-01",23.299999,23.52,22.83,23.35,14.279116,15380600,14.055956,0.0158765437228177
"14","2005-02-01",23.4,23.799999,23.059999,23.32,14.260769,14012300,14.279116,-0.00128488346197342
"15","2005-03-01",23.440001,23.799999,22.65,23.02,14.077312,15090300,14.260769,-0.012864453522808
"16","2005-04-01",23.200001,23.27,22.459999,22.780001,13.988429,19219500,14.077312,-0.00631391845261364
"17","2005-05-01",22.870001,23.65,22.74,23.309999,14.313883,14449200,13.988429,0.02326594358809
"18","2005-06-01",23.299999,23.57,22.67,22.75,13.970013,13853100,14.313883,-0.0240235301629894
"19","2005-07-01",22.85,23.629999,22.549999,23.48,14.487764,17341100,13.970013,0.0370615975804747
"20","2005-08-01",23.51,23.51,22.809999,23.07,14.234793,26015400,14.487764,-0.017461010546555
"21","2005-09-01",23.129999,23.459999,22.4,23.280001,14.364363,28437200,14.234793,0.00910234521850795
"22","2005-10-01",23.200001,23.35,22.52,23.17,14.367924,21869500,14.364363,0.000247905180341013
"23","2005-11-01",23.33,23.780001,22.959999,23.379999,14.498147,17943900,14.367924,0.00906345272984455
"24","2005-12-01",23.6,24.030001,23.25,23.290001,14.442342,21342600,14.498147,-0.00384911257969722
"25","2006-01-01",23.309999,23.629999,23.16,23.33,14.54003,31081600,14.442342,0.00676399991081778
"26","2006-02-01",23.26,23.9,23.01,23.530001,14.664667,22002200,14.54003,0.00857199056673208
"27","2006-03-01",23.65,24.49,23.440001,23.6,14.708298,31943300,14.664667,0.00297524655691128
"28","2006-04-01",23.75,23.879999,23.08,23.83,14.929697,20253400,14.708298,0.015052659389958
"29","2006-05-01",23.889999,24.26,23.48,23.879999,14.961031,28285100,14.929697,0.00209876998843317
"30","2006-06-01",23.879999,24.43,23.43,24.190001,15.155246,35603300,14.961031,0.0129813914562438
"31","2006-07-01",24.24,24.790001,23.91,24.57,15.475723,38462100,15.155246,0.0211462750258227
"32","2006-08-01",24.65,25.540001,24.360001,25.52,16.074093,41118000,15.475723,0.0386650756155302
"33","2006-09-01",25.6,26.559999,25.16,25.379999,15.985909,37078800,16.074093,-0.0054860949230543
"34","2006-10-01",25.200001,26.049999,24.34,25.83,16.350853,40763300,15.985909,0.0228291053076808
"35","2006-11-01",25.860001,25.99,25.360001,25.610001,16.21159,45108500,16.350853,-0.00851717032744403
"36","2006-12-01",25.690001,26.299999,25.389999,26.120001,16.53443,23936400,16.21159,0.0199141478411433
"37","2007-01-01",26.07,26.790001,26.040001,26.65,16.955511,32644400,16.53443,0.0254669196337582
"38","2007-02-01",26.73,27.27,25.809999,26.24,16.694651,29514600,16.955511,-0.0153849683445105
"39","2007-03-01",25.799999,26.870001,25.5,26.65,16.955511,38077500,16.694651,0.0156253640761943
"40","2007-04-01",26.629999,27.719999,26.59,27.4,17.51918,22929300,16.955511,0.0332439995468139
"41","2007-05-01",27.389999,27.879999,27.040001,27.77,17.755747,36485500,17.51918,0.0135033146528547
"42","2007-06-01",27.809999,28.030001,26.709999,27.049999,17.295391,28735900,17.755747,-0.0259271547403779
"43","2007-07-01",27.129999,27.790001,26.27,26.280001,16.906588,37381600,17.295391,-0.0224801509257582
"44","2007-08-01",26.450001,27.75,26.02,26.9,17.305449,49992100,16.906588,0.023592045893589
"45","2007-09-01",27.040001,27.98,26.620001,27.98,18.000237,46933300,17.305449,0.0401485104489343
"46","2007-10-01",27.9,28.719999,27.620001,28.41,18.378679,92987700,18.000237,0.0210242787358856
"47","2007-11-01",28.5,29.309999,27.51,29.190001,18.883261,55278600,18.378679,0.027454747971821
"48","2007-12-01",29.370001,29.77,28.540001,28.799999,18.63096,48229200,18.883261,-0.0133610926629675
"49","2008-01-01",28.530001,28.91,24.379999,27.200001,17.686193,114797500,18.63096,-0.0507095179207084
"50","2008-02-01",27.200001,27.98,26.700001,27.129999,17.640671,66026300,17.686193,-0.00257387217249061
"51","2008-03-01",26.959999,28.110001,26.299999,27.860001,18.115335,77944000,17.640671,0.0269073665055031
"52","2008-04-01",28.120001,28.459999,27.65,27.65,18.074924,62021700,18.115335,-0.00223076194837146
"53","2008-05-01",27.82,28.65,27.540001,28.49,18.624041,48494200,18.074924,0.0303800447515021
"54","2008-06-01",28.49,28.67,26.360001,26.75,17.486593,66428100,18.624041,-0.0610741782623867
"55","2008-07-01",26.360001,27.9,26.290001,27.4,17.989317,88858200,17.486593,0.0287491108187856
"56","2008-08-01",27.49,29.02,27.280001,28.139999,18.475163,60323200,17.989317,0.0270074733798953
"57","2008-09-01",28.450001,30.290001,26.66,27.6,18.12063,117222400,18.475163,-0.0191897089081162
"58","2008-10-01",27.530001,28.75,21.629999,24.120001,15.943673,189758000,18.12063,-0.120136937843772
"59","2008-11-01",24.58,25.360001,21.4,24.07,15.910615,130968700,15.943673,-0.00207342436087343
"60","2008-12-01",23.59,24.48,22.459999,23.870001,15.778409,137978800,15.910615,-0.00830929539807235
"61","2009-01-01",23.940001,24.43,22.01,22.15,14.7665,135042200,15.778409,-0.0641325117126827
"62","2009-02-01",21.91,22.6,20.280001,20.360001,13.573185,120793400,14.7665,-0.080812311651373
"63","2009-03-01",20.139999,21.82,19.280001,21.1,14.066508,115881700,13.573185,0.0363454119280036
