Date,Open,High,Low,Close,Adj Close,Volume
2004-01-01,22.891958,23.996752,22.729488,23.598700,15.621950,79790097
2004-02-01,23.614946,24.500406,23.476849,24.272949,16.068300,58720672
2004-03-01,24.297319,24.865963,23.225019,23.883022,15.810177,90050484
2004-04-01,24.086109,24.573517,22.753859,22.843218,15.190243,140239953
2004-05-01,22.867586,23.354996,21.787165,23.233145,15.449526,128329165
2004-06-01,23.111292,23.631193,22.973192,23.216896,15.438722,73980639
2004-07-01,23.151909,23.281885,22.185215,22.721365,15.186656,70997064
2004-08-01,22.721365,24.549147,22.136475,23.460602,15.680755,72197658
2004-09-01,23.476849,23.964256,22.932575,23.119415,15.452706,66433624
2004-10-01,23.160032,23.769293,21.933388,23.241266,15.618316,106569887
2004-11-01,23.314379,24.370432,23.273762,23.964256,16.104168,91802071
2004-12-01,24.086109,24.947197,24.069862,24.800976,16.666452,63331626
2005-01-01,24.979691,25.012184,23.866776,24.264826,16.407446,94429149
2005-02-01,24.370432,24.898457,23.826159,24.102356,16.297596,140508066
2005-03-01,24.248577,24.687246,22.794476,23.062551,15.594492,223823621
2005-04-01,23.233145,23.436232,22.250202,23.103168,15.705118,223150878
2005-05-01,23.306255,23.874899,22.778229,23.785540,16.168983,221027036
2005-06-01,23.801786,24.248577,23.671812,23.939886,16.273909,121522968
2005-07-01,24.094233,24.695370,23.696182,24.313566,16.626059,113535132
2005-08-01,24.467913,24.532900,23.314379,23.915516,16.353870,203287835
2005-09-01,23.996752,24.370432,23.395613,23.980503,16.398302,210719502
2005-10-01,24.086109,24.809097,23.095045,24.711617,16.996679,255329343
2005-11-01,24.719740,26.482534,24.532900,25.889521,17.806850,265093882
2005-12-01,26.035744,26.287571,25.629568,25.727051,17.695099,183800241
2006-01-01,25.727051,26.758734,25.312754,25.954510,17.967939,236008430
2006-02-01,25.913891,26.839968,25.491470,26.506905,18.350349,245765582
2006-03-01,26.588140,27.067425,26.230707,26.441917,18.305359,285346538
2006-04-01,26.441917,27.692932,26.238831,27.587326,19.200748,205373641
2006-05-01,27.611698,27.798538,26.076361,26.547522,18.477041,220543131
2006-06-01,26.531275,27.067425,25.329000,26.271324,18.284805,266891633
2006-07-01,26.303818,27.010561,25.540211,26.872461,18.812414,200332449
2006-08-01,26.766855,27.457352,26.328188,27.189278,19.034203,186370203
2006-09-01,27.286758,28.432169,26.896832,28.123478,19.688208,139640578
2006-10-01,28.082859,29.049553,27.952885,28.781479,20.263657,162803938
2006-11-01,28.911453,29.488220,28.383429,28.984566,20.406647,140677204
2006-12-01,28.968319,30.170593,28.619009,29.845654,21.012901,141236447
2007-01-01,30.024370,30.316816,29.471973,30.121853,21.370583,150521879
2007-02-01,30.203087,30.861090,28.367182,29.203899,20.719316,261008808
2007-03-01,28.838343,29.715677,27.766045,28.943949,20.534899,524024266
2007-04-01,28.919579,30.406174,28.529652,30.064987,21.420042,328463301
2007-05-01,30.056864,30.991064,29.870024,30.787977,21.935146,334134764
2007-06-01,30.836718,30.942324,29.082047,29.390739,20.939671,536456258
2007-07-01,29.805037,30.048740,26.726238,26.726238,19.145420,1183013897
2007-08-01,26.880585,28.748985,25.597076,27.416735,19.640059,2316431298
2007-09-01,27.489845,28.976442,26.441917,27.879772,19.971756,1225211716
2007-10-01,27.725426,29.220146,26.076361,27.400488,19.773645,1580870635
2007-11-01,26.604387,27.173031,22.826969,25.182777,18.173222,2900724093
2007-12-01,25.052803,26.108854,23.208773,23.501219,16.959732,1924714048
2008-01-01,23.623072,24.313566,19.585703,23.671812,17.238464,3713786172
2008-02-01,23.558083,24.110479,20.804224,20.982941,15.280361,2720150673
2008-03-01,20.852964,22.233955,18.107229,20.203087,14.712451,4263280324
2008-04-01,20.926077,22.071487,19.796913,21.616571,15.868742,2702436215
2008-05-01,21.559708,22.883835,19.731924,20.113729,14.765497,2174479640
2008-06-01,20.064987,20.064987,16.295694,16.458164,12.081944,3925933883
2008-07-01,16.190088,18.757109,13.623071,17.571079,13.013243,7091654853
2008-08-01,17.579205,18.489033,15.930138,17.400488,12.886897,3983653256
2008-09-01,17.839155,19.902517,13.939886,16.157595,11.966407,7904224410
2008-10-01,16.133224,16.815598,10.389927,12.615760,9.432872,6930956421
2008-11-01,12.583266,13.428107,7.043054,10.284322,7.689639,4443506973
2008-12-01,9.886271,11.226645,8.480910,10.170593,7.604604,3682978431
2009-01-01,10.178716,10.414297,6.555646,7.506093,5.696140,4549773414
2009-02-01,7.311129,8.196588,5.564582,6.173842,4.685135,5754640025
2009-03-01,5.938262,7.879773,4.776604,7.156783,5.431059,7841192043
2009-04-01,6.953696,9.203899,6.937449,8.716491,6.681019,5402945787
2009-05-01,8.724614,10.625508,8.570268,9.935012,7.614994,4740824249
2009-06-01,10.064988,10.292445,9.179529,9.707555,7.440652,3610210203
2009-07-01,9.723802,10.584890,8.797725,10.568643,8.142427,3265128528
2009-08-01,10.763607,12.103981,10.690496,11.941511,9.200134,2963929173
2009-09-01,11.852153,12.542648,11.161657,12.136474,9.350341,2633102352
2009-10-01,12.071487,12.802600,11.348497,11.413485,8.820581,2836692152
2009-11-01,11.502843,12.290820,11.194151,11.909017,9.203540,2170184064
2009-12-01,11.990252,12.136474,11.380991,11.697807,9.040313,1960130164
